akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,ping,8.8.8.8,N/A,Exitoso
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,ping,8.8.8.8,N/A,Exitoso
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,ping,8.8.4.4,N/A,Exitoso
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,ping,8.8.4.4,N/A,Exitoso
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,ping,5.5.5.5,N/A,Fallido
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,ping,5.5.5.5,N/A,Fallido
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.8.8,53,Abierto
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.8.8,53,Abierto
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.8.8,54,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.8.8,54,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.8.8,22,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.8.8,22,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.4.4,53,Abierto
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.4.4,53,Abierto
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.4.4,54,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.4.4,54,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,8.8.4.4,22,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,8.8.4.4,22,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,5.5.5.5,53,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,5.5.5.5,53,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,5.5.5.5,54,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,5.5.5.5,54,Cerrado
ansiblepruLB,10.181.6.38,255.255.240.0,10.181.0.1,puerto,5.5.5.5,22,Cerrado
akout-n0,147.127.110.17,255.255.255.0,147.127.110.1,puerto,5.5.5.5,22,Cerrado
