inventory_name,os_full_version
akcan_n0,SUSE Linux Enterprise Server 15 SP4
akede_n0,SUSE Linux Enterprise Server 15 SP5
akbar_new,SUSE Linux Enterprise Server 15 SP4
akigp_n0,SUSE Linux Enterprise Server 15 SP5
akipi_n0,SUSE Linux Enterprise Server 15 SP5
akflo_n0,SUSE Linux Enterprise Server 15 SP5
akpas_n0,SUSE Linux Enterprise Server 15 SP4
akove_new,SUSE Linux Enterprise Server 15 SP4
akper_n0,SUSE Linux Enterprise Server 15 SP5
aksin_new,SUSE Linux Enterprise Server 15 SP4
aktuq_new,SUSE Linux Enterprise Server 15 SP4
akven_n0,SUSE Linux Enterprise Server 15 SP5
albac_n1,SUSE Linux Enterprise Server 15 SP5
akvil_n0,SUSE Linux Enterprise Server 15 SP4
akyop_n0,SUSE Linux Enterprise Server 15 SP4
al332_n0,SUSE Linux Enterprise Server 15 SP5
albuk_n0,SUSE Linux Enterprise Server 15 SP5
alca2_n0,SUSE Linux Enterprise Server 15 SP4
alca4_new,SUSE Linux Enterprise Server 15 SP4
alcuc_n1,SUSE Linux Enterprise Server 15 SP5
alca5_n0,SUSE Linux Enterprise Server 15 SP5
alca6_n0,SUSE Linux Enterprise Server 15 SP5
alcen_new,SUSE Linux Enterprise Server 15 SP4
alct2_new,SUSE Linux Enterprise Server 15 SP4
alcuc_n0,SUSE Linux Enterprise Server 15 SP5
aldie_n0,SUSE Linux Enterprise Server 15 SP5
alflo_new,SUSE Linux Enterprise Server 15 SP4
aliba_n0,SUSE Linux Enterprise Server 15 SP4
kttun_n1,SUSE Linux Enterprise Server 15 SP5
akflo_n1,SUSE Linux Enterprise Server 15 SP5
alk33_n1,SUSE Linux Enterprise Server 15 SP5
alk72_n0,SUSE Linux Enterprise Server 15 SP5
alkau_new,SUSE Linux Enterprise Server 15 SP4
alkun_n0,SUSE Linux Enterprise Server 15 SP4
almay_n0,SUSE Linux Enterprise Server 15 SP4
almo1_n0,SUSE Linux Enterprise Server 15 SP5
almol_n0,SUSE Linux Enterprise Server 15 SP4
alnei_n0,SUSE Linux Enterprise Server 15 SP4
alni1_n0,SUSE Linux Enterprise Server 15 SP5
alnue_n0,SUSE Linux Enterprise Server 15 SP4
alper_n0,SUSE Linux Enterprise Server 15 SP5
alpie_new,SUSE Linux Enterprise Server 15 SP4
alpol_new,SUSE Linux Enterprise Server 15 SP4
disml,SUSE Linux Enterprise Server 15 SP5
ktark_n0,SUSE Linux Enterprise Server 15 SP5
ktbar_n0,SUSE Linux Enterprise Server 15 SP5
ktbuc_new,SUSE Linux Enterprise Server 15 SP5
ktcal_new,SUSE Linux Enterprise Server 15 SP4
ktchi_new,SUSE Linux Enterprise Server 15 SP4
ktfus_n0,SUSE Linux Enterprise Server 15 SP5
ktgir_n0,SUSE Linux Enterprise Server 15 SP5
ktjul_n0,SUSE Linux Enterprise Server 15 SP4
ktman_n0,SUSE Linux Enterprise Server 15 SP5
ktmay_n0,SUSE Linux Enterprise Server 15 SP4
ktmos_n0,SUSE Linux Enterprise Server 15 SP4
ktnqs_n0,SUSE Linux Enterprise Server 15 SP4
ktpob_new,SUSE Linux Enterprise Server 15 SP5
ktsal_n0,SUSE Linux Enterprise Server 15 SP5
ktsba_nuevo,SUSE Linux Enterprise Server 15 SP5
ktsoa_new,SUSE Linux Enterprise Server 15 SP4
kttes_new,SUSE Linux Enterprise Server 15 SP5
kttit_n0,SUSE Linux Enterprise Server 15 SP4
kttun_n0,SUSE Linux Enterprise Server 15 SP5
ktuno_nuevo,SUSE Linux Enterprise Server 15 SP5
ktvil_n0,SUSE Linux Enterprise Server 15 SP5
ktame_bk,SUSE Linux Enterprise Server 15 SP4
akpas_bk,SUSE Linux Enterprise Server 15 SP5
